date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-14,pond-bamboo,19,75,25.3,0.149,"{""blue"":2,""gray"":6,""green"":8,""purple"":3}"
2026-08-14,pond-calm,5,80,6.3,0.144,"{""gray"":2,""green"":3}"
2026-08-14,pond-coral,28,70,40,0.128,"{""blue"":8,""gray"":8,""green"":8,""purple"":3,""red"":1}"
2026-08-14,pond-crystal,16,70,22.9,0.151,"{""blue"":3,""gold"":1,""gray"":3,""green"":3,""orange"":3,""purple"":3}"
2026-08-14,pond-dusk,34,75,45.3,0.145,"{""blue"":5,""gray"":13,""green"":11,""orange"":1,""purple"":2,""red"":2}"
2026-08-14,pond-fern,34,75,45.3,0.14,"{""blue"":3,""gray"":16,""green"":11,""purple"":2,""red"":2}"
2026-08-14,pond-frost,36,75,48,0.129,"{""blue"":7,""gold"":1,""gray"":8,""green"":12,""orange"":1,""purple"":5,""red"":2}"
2026-08-14,pond-harbor,29,70,41.4,0.14,"{""blue"":6,""gray"":11,""green"":9,""purple"":3}"
2026-08-14,pond-lotus,17,60,28.3,0.141,"{""blue"":5,""gray"":6,""green"":3,""orange"":1,""red"":2}"
2026-08-14,pond-mirror,32,75,42.7,0.145,"{""blue"":8,""gray"":10,""green"":9,""orange"":4,""purple"":1}"
2026-08-14,pond-mist,4,70,5.7,0.135,"{""blue"":1,""gray"":2,""orange"":1}"
2026-08-14,pond-moon,26,60,43.3,0.152,"{""blue"":4,""gray"":10,""green"":7,""orange"":1,""purple"":2,""red"":2}"
2026-08-14,pond-orchid,28,60,46.7,0.13,"{""blue"":2,""gray"":12,""green"":10,""purple"":2,""red"":2}"
2026-08-14,pond-pine,32,80,40,0.139,"{""blue"":8,""gold"":1,""gray"":10,""green"":11,""purple"":1,""red"":1}"
2026-08-14,pond-reed,31,80,38.8,0.133,"{""blue"":3,""gold"":1,""gray"":9,""green"":10,""orange"":1,""purple"":6,""red"":1}"
2026-08-14,pond-ridge,41,80,51.3,0.133,"{""blue"":9,""gray"":16,""green"":9,""orange"":3,""purple"":4}"
2026-08-14,pond-spring,27,60,45,0.134,"{""blue"":5,""gray"":14,""green"":5,""purple"":2,""red"":1}"
2026-08-14,pond-stone,30,70,42.9,0.14,"{""blue"":8,""gray"":12,""green"":6,""purple"":3,""red"":1}"
2026-08-14,pond-sunset,3,60,5,0.137,"{""blue"":1,""gray"":2}"
2026-08-14,pond-willow,30,80,37.5,0.139,"{""blue"":5,""gold"":1,""gray"":12,""green"":10,""purple"":1,""red"":1}"
