date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-11,pond-bamboo,73,75,97.3,1.662,"{""blue"":10,""gold"":1,""gray"":34,""green"":22,""orange"":2,""purple"":3,""red"":1}"
2026-07-11,pond-calm,76,80,95,2.135,"{""blue"":10,""gold"":2,""gray"":34,""green"":23,""orange"":2,""purple"":4,""red"":1}"
2026-07-11,pond-mist,67,70,95.7,1.821,"{""blue"":10,""gold"":1,""gray"":30,""green"":22,""orange"":2,""purple"":1,""red"":1}"
2026-07-11,pond-sunset,57,60,95,2.589,"{""blue"":8,""gold"":1,""gray"":23,""green"":18,""orange"":3,""purple"":3,""red"":1}"
