date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-27,pond-bamboo,97,75,129.3,0.056,"{""blue"":25,""gold"":2,""gray"":32,""green"":25,""orange"":2,""purple"":9,""red"":2}"
2026-08-27,pond-calm,99,80,123.8,0.062,"{""blue"":21,""gray"":35,""green"":25,""orange"":2,""purple"":9,""red"":7}"
2026-08-27,pond-coral,100,70,142.9,0.058,"{""blue"":6,""gold"":5,""gray"":47,""green"":11,""orange"":4,""purple"":10,""red"":17}"
2026-08-27,pond-crystal,100,70,142.9,0.061,"{""blue"":27,""gold"":2,""gray"":29,""green"":21,""orange"":2,""purple"":13,""red"":6}"
2026-08-27,pond-dusk,98,75,130.7,0.057,"{""blue"":12,""gold"":7,""gray"":51,""green"":7,""orange"":1,""purple"":8,""red"":12}"
2026-08-27,pond-fern,100,75,133.3,0.064,"{""blue"":12,""gold"":7,""gray"":38,""green"":7,""orange"":8,""purple"":9,""red"":19}"
2026-08-27,pond-frost,100,75,133.3,0.057,"{""blue"":20,""gray"":42,""green"":22,""orange"":2,""purple"":10,""red"":4}"
2026-08-27,pond-harbor,100,70,142.9,0.057,"{""blue"":19,""gold"":3,""gray"":16,""green"":18,""orange"":11,""purple"":22,""red"":11}"
2026-08-27,pond-lotus,100,60,166.7,0.059,"{""blue"":21,""gold"":2,""gray"":31,""green"":16,""orange"":5,""purple"":12,""red"":13}"
2026-08-27,pond-mirror,100,75,133.3,0.059,"{""blue"":25,""gold"":3,""gray"":27,""green"":20,""orange"":2,""purple"":14,""red"":9}"
2026-08-27,pond-mist,100,70,142.9,0.06,"{""blue"":17,""gray"":38,""green"":31,""orange"":2,""purple"":9,""red"":3}"
2026-08-27,pond-moon,100,60,166.7,0.061,"{""blue"":10,""gold"":3,""gray"":45,""green"":12,""orange"":1,""purple"":12,""red"":17}"
2026-08-27,pond-orchid,99,60,165,0.058,"{""blue"":26,""gold"":2,""gray"":11,""green"":10,""orange"":6,""purple"":29,""red"":15}"
2026-08-27,pond-pine,99,80,123.8,0.06,"{""blue"":14,""gold"":2,""gray"":44,""green"":12,""orange"":4,""purple"":12,""red"":11}"
2026-08-27,pond-reed,99,80,123.8,0.063,"{""blue"":15,""gold"":1,""gray"":42,""green"":28,""orange"":3,""purple"":8,""red"":2}"
2026-08-27,pond-ridge,100,80,125,0.065,"{""blue"":23,""gold"":3,""gray"":19,""green"":12,""orange"":3,""purple"":31,""red"":9}"
2026-08-27,pond-spring,100,60,166.7,0.06,"{""blue"":16,""gray"":47,""green"":6,""orange"":7,""purple"":10,""red"":14}"
2026-08-27,pond-stone,100,70,142.9,0.061,"{""blue"":8,""gray"":52,""green"":11,""orange"":3,""purple"":9,""red"":17}"
2026-08-27,pond-sunset,99,60,165,0.058,"{""blue"":14,""gray"":37,""green"":30,""orange"":4,""purple"":8,""red"":6}"
2026-08-27,pond-willow,100,80,125,0.061,"{""blue"":23,""gold"":1,""gray"":31,""green"":14,""orange"":6,""purple"":14,""red"":11}"
