date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-18,pond-bamboo,11,75,14.7,0.14,"{""blue"":4,""gray"":5,""green"":1,""purple"":1}"
2026-08-18,pond-calm,1,80,1.3,0.3,"{""gray"":1}"
2026-08-18,pond-coral,40,70,57.1,0.354,"{""blue"":6,""gray"":21,""green"":11,""purple"":2}"
2026-08-18,pond-crystal,25,70,35.7,0.133,"{""blue"":5,""gray"":11,""green"":7,""orange"":1,""purple"":1}"
2026-08-18,pond-dusk,27,75,36,0.134,"{""blue"":2,""gold"":2,""gray"":8,""green"":11,""purple"":2,""red"":2}"
2026-08-18,pond-fern,36,75,48,0.143,"{""blue"":6,""gray"":16,""green"":8,""purple"":3,""red"":3}"
2026-08-18,pond-frost,36,75,48,0.135,"{""blue"":9,""gray"":7,""green"":12,""orange"":2,""purple"":6}"
2026-08-18,pond-harbor,31,70,44.3,0.141,"{""blue"":4,""gray"":15,""green"":4,""orange"":1,""purple"":4,""red"":3}"
2026-08-18,pond-lotus,20,60,33.3,0.137,"{""blue"":3,""gray"":8,""green"":6,""orange"":1,""purple"":1,""red"":1}"
2026-08-18,pond-mirror,42,75,56,0.363,"{""blue"":5,""gray"":19,""green"":12,""orange"":1,""purple"":1,""red"":4}"
2026-08-18,pond-mist,10,70,14.3,0.144,"{""blue"":2,""gray"":6,""green"":1,""purple"":1}"
2026-08-18,pond-moon,30,60,50,0.146,"{""blue"":3,""gray"":14,""green"":6,""orange"":2,""purple"":4,""red"":1}"
2026-08-18,pond-orchid,28,60,46.7,0.191,"{""blue"":4,""gray"":8,""green"":12,""purple"":4}"
2026-08-18,pond-pine,66,80,82.5,1.124,"{""blue"":7,""gold"":1,""gray"":31,""green"":20,""orange"":1,""purple"":5,""red"":1}"
2026-08-18,pond-reed,19,80,23.8,0.137,"{""blue"":4,""gray"":5,""green"":6,""orange"":1,""purple"":2,""red"":1}"
2026-08-18,pond-ridge,43,80,53.8,1.212,"{""blue"":6,""gold"":1,""gray"":20,""green"":12,""orange"":1,""purple"":1,""red"":2}"
2026-08-18,pond-spring,26,60,43.3,0.157,"{""blue"":2,""gray"":13,""green"":6,""orange"":2,""purple"":2,""red"":1}"
2026-08-18,pond-stone,29,70,41.4,0.133,"{""blue"":6,""gray"":12,""green"":8,""purple"":1,""red"":2}"
2026-08-18,pond-sunset,4,60,6.7,0.133,"{""blue"":2,""green"":2}"
2026-08-18,pond-willow,28,80,35,0.143,"{""blue"":5,""gray"":11,""green"":6,""purple"":5,""red"":1}"
