date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-30,pond-bamboo,86,75,114.7,0.055,"{""blue"":25,""gold"":2,""gray"":26,""green"":20,""orange"":2,""purple"":9,""red"":2}"
2026-08-30,pond-calm,97,80,121.3,0.86,"{""blue"":18,""gray"":34,""green"":27,""orange"":2,""purple"":9,""red"":7}"
2026-08-30,pond-coral,98,70,140,1.696,"{""blue"":6,""gold"":5,""gray"":44,""green"":12,""orange"":4,""purple"":10,""red"":17}"
2026-08-30,pond-crystal,92,70,131.4,0.06,"{""blue"":27,""gold"":2,""gray"":24,""green"":18,""orange"":2,""purple"":13,""red"":6}"
2026-08-30,pond-dusk,95,75,126.7,1.316,"{""blue"":12,""gold"":7,""gray"":48,""green"":7,""orange"":1,""purple"":8,""red"":12}"
2026-08-30,pond-fern,98,75,130.7,0.064,"{""blue"":12,""gold"":7,""gray"":36,""green"":7,""orange"":8,""purple"":9,""red"":19}"
2026-08-30,pond-frost,98,75,130.7,0.057,"{""blue"":20,""gray"":41,""green"":21,""orange"":2,""purple"":10,""red"":4}"
2026-08-30,pond-harbor,99,70,141.4,0.057,"{""blue"":19,""gold"":3,""gray"":16,""green"":17,""orange"":11,""purple"":22,""red"":11}"
2026-08-30,pond-lotus,95,60,158.3,0.059,"{""blue"":20,""gold"":2,""gray"":28,""green"":15,""orange"":5,""purple"":12,""red"":13}"
2026-08-30,pond-mirror,97,75,129.3,0.058,"{""blue"":25,""gold"":3,""gray"":25,""green"":19,""orange"":2,""purple"":14,""red"":9}"
2026-08-30,pond-mist,81,70,115.7,0.823,"{""blue"":16,""gray"":23,""green"":27,""orange"":2,""purple"":9,""red"":4}"
2026-08-30,pond-moon,98,60,163.3,0.062,"{""blue"":10,""gold"":3,""gray"":43,""green"":12,""orange"":1,""purple"":12,""red"":17}"
2026-08-30,pond-orchid,99,60,165,0.058,"{""blue"":26,""gold"":2,""gray"":11,""green"":10,""orange"":6,""purple"":29,""red"":15}"
2026-08-30,pond-pine,98,80,122.5,1.367,"{""blue"":14,""gold"":2,""gray"":43,""green"":12,""orange"":4,""purple"":12,""red"":11}"
2026-08-30,pond-reed,85,80,106.3,0.063,"{""blue"":15,""gold"":1,""gray"":34,""green"":22,""orange"":3,""purple"":8,""red"":2}"
2026-08-30,pond-ridge,99,80,123.8,0.064,"{""blue"":23,""gold"":3,""gray"":19,""green"":11,""orange"":3,""purple"":31,""red"":9}"
2026-08-30,pond-spring,98,60,163.3,0.06,"{""blue"":16,""gray"":45,""green"":6,""orange"":7,""purple"":10,""red"":14}"
2026-08-30,pond-stone,97,70,138.6,0.061,"{""blue"":8,""gray"":50,""green"":10,""orange"":3,""purple"":9,""red"":17}"
2026-08-30,pond-sunset,75,60,125,1.195,"{""blue"":11,""gray"":27,""green"":19,""orange"":4,""purple"":8,""red"":6}"
2026-08-30,pond-willow,93,80,116.3,0.061,"{""blue"":22,""gold"":1,""gray"":26,""green"":13,""orange"":6,""purple"":14,""red"":11}"
