date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-26,pond-bamboo,36,75,48,0.134,"{""blue"":9,""gray"":15,""green"":9,""purple"":2,""red"":1}"
2026-08-26,pond-calm,30,80,37.5,0.639,"{""blue"":2,""gray"":11,""green"":16,""purple"":1}"
2026-08-26,pond-coral,36,70,51.4,0.134,"{""blue"":7,""gray"":15,""green"":13,""purple"":1}"
2026-08-26,pond-crystal,46,70,65.7,0.812,"{""blue"":11,""gray"":18,""green"":13,""orange"":1,""purple"":3}"
2026-08-26,pond-dusk,34,75,45.3,0.131,"{""blue"":5,""gray"":13,""green"":13,""purple"":2,""red"":1}"
2026-08-26,pond-fern,47,75,62.7,0.679,"{""blue"":7,""gray"":20,""green"":19,""purple"":1}"
2026-08-26,pond-frost,26,75,34.7,0.138,"{""blue"":6,""gray"":13,""green"":7}"
2026-08-26,pond-harbor,54,70,77.1,0.845,"{""blue"":13,""gray"":18,""green"":18,""purple"":5}"
2026-08-26,pond-lotus,37,60,61.7,0.148,"{""blue"":3,""gray"":21,""green"":12,""purple"":1}"
2026-08-26,pond-mirror,67,75,89.3,1.204,"{""blue"":11,""gray"":24,""green"":27,""orange"":1,""purple"":3,""red"":1}"
2026-08-26,pond-mist,29,70,41.4,0.129,"{""blue"":6,""gray"":9,""green"":14}"
2026-08-26,pond-moon,33,60,55,0.136,"{""blue"":2,""gray"":19,""green"":11,""purple"":1}"
2026-08-26,pond-orchid,42,60,70,0.15,"{""blue"":10,""gray"":20,""green"":12}"
2026-08-26,pond-pine,58,80,72.5,0.828,"{""blue"":6,""gray"":26,""green"":24,""purple"":2}"
2026-08-26,pond-reed,40,80,50,0.141,"{""blue"":10,""gray"":15,""green"":14,""red"":1}"
2026-08-26,pond-ridge,55,80,68.8,0.789,"{""blue"":10,""gray"":18,""green"":24,""purple"":3}"
2026-08-26,pond-spring,35,60,58.3,0.135,"{""blue"":5,""gray"":19,""green"":11}"
2026-08-26,pond-stone,34,70,48.6,0.142,"{""blue"":3,""gray"":15,""green"":13,""purple"":3}"
2026-08-26,pond-sunset,35,60,58.3,0.13,"{""blue"":6,""gray"":14,""green"":12,""purple"":3}"
2026-08-26,pond-willow,61,80,76.3,1.338,"{""blue"":8,""gold"":1,""gray"":29,""green"":21,""purple"":2}"
