date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-23,pond-bamboo,3,75,4,0.157,"{""gray"":2,""purple"":1}"
2026-08-23,pond-calm,21,80,26.3,1.394,"{""blue"":2,""gray"":7,""green"":9,""orange"":1,""purple"":1,""red"":1}"
2026-08-23,pond-coral,55,70,78.6,0.632,"{""blue"":8,""gold"":1,""gray"":25,""green"":19,""purple"":1,""red"":1}"
2026-08-23,pond-crystal,15,70,21.4,0.138,"{""blue"":4,""gray"":6,""green"":4,""purple"":1}"
2026-08-23,pond-dusk,27,75,36,0.134,"{""blue"":2,""gold"":2,""gray"":8,""green"":11,""purple"":2,""red"":2}"
2026-08-23,pond-fern,29,75,38.7,0.147,"{""blue"":6,""gray"":14,""green"":6,""red"":3}"
2026-08-23,pond-frost,44,75,58.7,2.029,"{""blue"":9,""gold"":1,""gray"":8,""green"":19,""orange"":2,""purple"":5}"
2026-08-23,pond-harbor,47,70,67.1,1.547,"{""blue"":5,""gray"":24,""green"":12,""orange"":1,""purple"":3,""red"":2}"
2026-08-23,pond-lotus,33,60,55,1.867,"{""blue"":4,""gold"":1,""gray"":14,""green"":12,""orange"":1,""purple"":1}"
2026-08-23,pond-mirror,50,75,66.7,1.869,"{""blue"":7,""gold"":1,""gray"":21,""green"":16,""orange"":1,""purple"":2,""red"":2}"
2026-08-23,pond-mist,9,70,12.9,0.149,"{""blue"":1,""gray"":2,""green"":5,""purple"":1}"
2026-08-23,pond-moon,28,60,46.7,0.146,"{""blue"":3,""gray"":13,""green"":6,""orange"":1,""purple"":4,""red"":1}"
2026-08-23,pond-orchid,33,60,55,1.071,"{""blue"":3,""gray"":13,""green"":12,""purple"":4,""red"":1}"
2026-08-23,pond-pine,80,80,100,1.598,"{""blue"":10,""gold"":1,""gray"":38,""green"":25,""orange"":1,""purple"":4,""red"":1}"
2026-08-23,pond-reed,15,80,18.8,0.135,"{""blue"":3,""gray"":3,""green"":6,""orange"":1,""purple"":2}"
2026-08-23,pond-ridge,51,80,63.8,1.358,"{""blue"":6,""gray"":24,""green"":17,""orange"":1,""purple"":1,""red"":2}"
2026-08-23,pond-spring,37,60,61.7,1.842,"{""blue"":5,""gray"":17,""green"":10,""orange"":2,""purple"":2,""red"":1}"
2026-08-23,pond-stone,25,70,35.7,0.136,"{""blue"":5,""gray"":11,""green"":7,""purple"":1,""red"":1}"
2026-08-23,pond-sunset,19,60,31.7,0.681,"{""blue"":2,""gray"":7,""green"":8,""purple"":1,""red"":1}"
2026-08-23,pond-willow,28,80,35,0.143,"{""blue"":5,""gray"":11,""green"":6,""purple"":5,""red"":1}"
