date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-11,pond-bamboo,48,75,64,0.603,"{""blue"":5,""gold"":1,""gray"":20,""green"":19,""orange"":1,""purple"":1,""red"":1}"
2026-08-11,pond-calm,25,80,31.3,0.342,"{""blue"":3,""gray"":12,""green"":8,""purple"":1,""red"":1}"
2026-08-11,pond-coral,70,70,100,1.369,"{""blue"":9,""gold"":2,""gray"":33,""green"":23,""orange"":1,""purple"":1,""red"":1}"
2026-08-11,pond-crystal,63,70,90,1.18,"{""blue"":7,""gold"":1,""gray"":28,""green"":22,""orange"":1,""purple"":3,""red"":1}"
2026-08-11,pond-dusk,75,75,100,1.35,"{""blue"":11,""gold"":1,""gray"":36,""green"":22,""orange"":1,""purple"":2,""red"":2}"
2026-08-11,pond-fern,75,75,100,1.182,"{""blue"":9,""gold"":1,""gray"":38,""green"":23,""orange"":1,""purple"":2,""red"":1}"
2026-08-11,pond-frost,75,75,100,1.439,"{""blue"":11,""gold"":1,""gray"":33,""green"":22,""orange"":1,""purple"":6,""red"":1}"
2026-08-11,pond-harbor,70,70,100,1.432,"{""blue"":9,""gold"":1,""gray"":32,""green"":22,""orange"":1,""purple"":3,""red"":2}"
2026-08-11,pond-lotus,49,60,81.7,1.236,"{""blue"":6,""gray"":21,""green"":18,""orange"":1,""purple"":1,""red"":2}"
2026-08-11,pond-mirror,72,75,96,1.161,"{""blue"":12,""gold"":1,""gray"":31,""green"":22,""orange"":1,""purple"":4,""red"":1}"
2026-08-11,pond-mist,53,70,75.7,0.712,"{""blue"":7,""gold"":1,""gray"":22,""green"":19,""purple"":3,""red"":1}"
2026-08-11,pond-moon,59,60,98.3,1.27,"{""blue"":7,""gold"":1,""gray"":27,""green"":21,""orange"":1,""purple"":1,""red"":1}"
2026-08-11,pond-orchid,60,60,100,1.303,"{""blue"":9,""gold"":1,""gray"":24,""green"":21,""orange"":1,""purple"":3,""red"":1}"
2026-08-11,pond-pine,79,80,98.8,1.181,"{""blue"":11,""gray"":35,""green"":28,""orange"":1,""purple"":2,""red"":2}"
2026-08-11,pond-reed,74,80,92.5,0.874,"{""blue"":13,""gold"":1,""gray"":33,""green"":23,""orange"":1,""purple"":2,""red"":1}"
2026-08-11,pond-ridge,80,80,100,1.417,"{""blue"":9,""gold"":1,""gray"":37,""green"":25,""orange"":1,""purple"":4,""red"":3}"
2026-08-11,pond-spring,58,60,96.7,1.479,"{""blue"":8,""gold"":1,""gray"":21,""green"":23,""orange"":1,""purple"":3,""red"":1}"
2026-08-11,pond-stone,70,70,100,1.251,"{""blue"":9,""gold"":1,""gray"":34,""green"":22,""orange"":1,""purple"":2,""red"":1}"
2026-08-11,pond-sunset,45,60,75,0.754,"{""blue"":7,""gold"":1,""gray"":18,""green"":16,""orange"":1,""purple"":1,""red"":1}"
2026-08-11,pond-willow,80,80,100,1.25,"{""blue"":11,""gold"":1,""gray"":35,""green"":27,""orange"":1,""purple"":2,""red"":3}"
