date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-28,pond-bamboo,95,75,126.7,0.056,"{""blue"":25,""gold"":2,""gray"":31,""green"":24,""orange"":2,""purple"":9,""red"":2}"
2026-08-28,pond-calm,96,80,120,0.782,"{""blue"":18,""gray"":35,""green"":25,""orange"":2,""purple"":9,""red"":7}"
2026-08-28,pond-coral,100,70,142.9,1.666,"{""blue"":6,""gold"":5,""gray"":46,""green"":12,""orange"":4,""purple"":10,""red"":17}"
2026-08-28,pond-crystal,99,70,141.4,0.061,"{""blue"":27,""gold"":2,""gray"":28,""green"":21,""orange"":2,""purple"":13,""red"":6}"
2026-08-28,pond-dusk,99,75,132,1.271,"{""blue"":12,""gold"":7,""gray"":52,""green"":7,""orange"":1,""purple"":8,""red"":12}"
2026-08-28,pond-fern,100,75,133.3,0.064,"{""blue"":12,""gold"":7,""gray"":38,""green"":7,""orange"":8,""purple"":9,""red"":19}"
2026-08-28,pond-frost,99,75,132,0.057,"{""blue"":20,""gray"":42,""green"":21,""orange"":2,""purple"":10,""red"":4}"
2026-08-28,pond-harbor,99,70,141.4,0.057,"{""blue"":19,""gold"":3,""gray"":16,""green"":17,""orange"":11,""purple"":22,""red"":11}"
2026-08-28,pond-lotus,98,60,163.3,0.059,"{""blue"":21,""gold"":2,""gray"":29,""green"":16,""orange"":5,""purple"":12,""red"":13}"
2026-08-28,pond-mirror,98,75,130.7,0.058,"{""blue"":25,""gold"":3,""gray"":26,""green"":19,""orange"":2,""purple"":14,""red"":9}"
2026-08-28,pond-mist,96,70,137.1,0.06,"{""blue"":17,""gray"":34,""green"":31,""orange"":2,""purple"":9,""red"":3}"
2026-08-28,pond-moon,99,60,165,0.061,"{""blue"":10,""gold"":3,""gray"":44,""green"":12,""orange"":1,""purple"":12,""red"":17}"
2026-08-28,pond-orchid,99,60,165,0.058,"{""blue"":26,""gold"":2,""gray"":11,""green"":10,""orange"":6,""purple"":29,""red"":15}"
2026-08-28,pond-pine,99,80,123.8,1.323,"{""blue"":14,""gold"":2,""gray"":44,""green"":12,""orange"":4,""purple"":12,""red"":11}"
2026-08-28,pond-reed,96,80,120,0.063,"{""blue"":15,""gold"":1,""gray"":39,""green"":28,""orange"":3,""purple"":8,""red"":2}"
2026-08-28,pond-ridge,100,80,125,0.065,"{""blue"":23,""gold"":3,""gray"":19,""green"":12,""orange"":3,""purple"":31,""red"":9}"
2026-08-28,pond-spring,99,60,165,0.06,"{""blue"":16,""gray"":46,""green"":6,""orange"":7,""purple"":10,""red"":14}"
2026-08-28,pond-stone,98,70,140,0.061,"{""blue"":8,""gray"":50,""green"":11,""orange"":3,""purple"":9,""red"":17}"
2026-08-28,pond-sunset,98,60,163.3,0.057,"{""blue"":14,""gray"":37,""green"":29,""orange"":4,""purple"":8,""red"":6}"
2026-08-28,pond-willow,98,80,122.5,0.061,"{""blue"":22,""gold"":1,""gray"":30,""green"":14,""orange"":6,""purple"":14,""red"":11}"
