date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-25,pond-bamboo,32,75,42.7,2.269,"{""blue"":5,""gold"":1,""gray"":12,""green"":12,""orange"":1,""red"":1}"
2026-07-25,pond-calm,34,80,42.5,2.767,"{""blue"":4,""gold"":2,""gray"":14,""green"":12,""orange"":1,""purple"":1}"
2026-07-25,pond-mist,58,70,82.9,1.831,"{""blue"":7,""gold"":1,""gray"":25,""green"":21,""orange"":1,""purple"":1,""red"":2}"
2026-07-25,pond-sunset,36,60,60,1.74,"{""blue"":5,""gold"":1,""gray"":17,""green"":11,""purple"":1,""red"":1}"
