date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-18,pond-bamboo,41,75,54.7,2.045,"{""blue"":3,""gold"":1,""gray"":20,""green"":14,""orange"":1,""purple"":1,""red"":1}"
2026-07-18,pond-calm,55,80,68.8,2.156,"{""blue"":5,""gold"":2,""gray"":24,""green"":21,""orange"":1,""purple"":1,""red"":1}"
2026-07-18,pond-mist,45,70,64.3,1.822,"{""blue"":6,""gold"":1,""gray"":18,""green"":16,""orange"":1,""purple"":1,""red"":2}"
2026-07-18,pond-sunset,43,60,71.7,2.175,"{""blue"":6,""gold"":1,""gray"":19,""green"":13,""orange"":2,""purple"":1,""red"":1}"
