date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-19,pond-bamboo,36,75,48,2.218,"{""blue"":5,""gold"":1,""gray"":18,""green"":10,""orange"":1,""purple"":1}"
2026-07-19,pond-calm,38,80,47.5,2.582,"{""blue"":4,""gold"":2,""gray"":15,""green"":16,""red"":1}"
2026-07-19,pond-mist,53,70,75.7,1.567,"{""blue"":7,""gold"":1,""gray"":25,""green"":16,""orange"":1,""purple"":1,""red"":2}"
2026-07-19,pond-sunset,27,60,45,2.546,"{""blue"":2,""gold"":1,""gray"":13,""green"":10,""orange"":1}"
