date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-29,pond-bamboo,87,75,116,0.055,"{""blue"":25,""gold"":2,""gray"":26,""green"":21,""orange"":2,""purple"":9,""red"":2}"
2026-08-29,pond-calm,96,80,120,0.867,"{""blue"":18,""gray"":33,""green"":27,""orange"":2,""purple"":9,""red"":7}"
2026-08-29,pond-coral,98,70,140,1.696,"{""blue"":6,""gold"":5,""gray"":44,""green"":12,""orange"":4,""purple"":10,""red"":17}"
2026-08-29,pond-crystal,94,70,134.3,0.06,"{""blue"":27,""gold"":2,""gray"":25,""green"":19,""orange"":2,""purple"":13,""red"":6}"
2026-08-29,pond-dusk,96,75,128,1.305,"{""blue"":12,""gold"":7,""gray"":49,""green"":7,""orange"":1,""purple"":8,""red"":12}"
2026-08-29,pond-fern,99,75,132,0.065,"{""blue"":12,""gold"":7,""gray"":37,""green"":7,""orange"":8,""purple"":9,""red"":19}"
2026-08-29,pond-frost,98,75,130.7,0.057,"{""blue"":20,""gray"":41,""green"":21,""orange"":2,""purple"":10,""red"":4}"
2026-08-29,pond-harbor,99,70,141.4,0.057,"{""blue"":19,""gold"":3,""gray"":16,""green"":17,""orange"":11,""purple"":22,""red"":11}"
2026-08-29,pond-lotus,95,60,158.3,0.059,"{""blue"":20,""gold"":2,""gray"":28,""green"":15,""orange"":5,""purple"":12,""red"":13}"
2026-08-29,pond-mirror,97,75,129.3,0.058,"{""blue"":25,""gold"":3,""gray"":25,""green"":19,""orange"":2,""purple"":14,""red"":9}"
2026-08-29,pond-mist,86,70,122.9,0.787,"{""blue"":17,""gray"":27,""green"":27,""orange"":2,""purple"":9,""red"":4}"
2026-08-29,pond-moon,99,60,165,0.061,"{""blue"":10,""gold"":3,""gray"":44,""green"":12,""orange"":1,""purple"":12,""red"":17}"
2026-08-29,pond-orchid,99,60,165,0.058,"{""blue"":26,""gold"":2,""gray"":11,""green"":10,""orange"":6,""purple"":29,""red"":15}"
2026-08-29,pond-pine,100,80,125,1.344,"{""blue"":14,""gold"":2,""gray"":45,""green"":12,""orange"":4,""purple"":12,""red"":11}"
2026-08-29,pond-reed,88,80,110,0.063,"{""blue"":15,""gold"":1,""gray"":36,""green"":23,""orange"":3,""purple"":8,""red"":2}"
2026-08-29,pond-ridge,99,80,123.8,0.064,"{""blue"":23,""gold"":3,""gray"":19,""green"":11,""orange"":3,""purple"":31,""red"":9}"
2026-08-29,pond-spring,99,60,165,0.06,"{""blue"":16,""gray"":46,""green"":6,""orange"":7,""purple"":10,""red"":14}"
2026-08-29,pond-stone,97,70,138.6,0.061,"{""blue"":8,""gray"":50,""green"":10,""orange"":3,""purple"":9,""red"":17}"
2026-08-29,pond-sunset,80,60,133.3,1.136,"{""blue"":11,""gray"":30,""green"":21,""orange"":4,""purple"":8,""red"":6}"
2026-08-29,pond-willow,97,80,121.3,0.061,"{""blue"":22,""gold"":1,""gray"":30,""green"":13,""orange"":6,""purple"":14,""red"":11}"
