date_key,pond_id,population,max_population,pop_ratio,avg_size_m
2026-07-05,pond-bamboo,70,75,93.3,0.55
2026-07-05,pond-calm,70,80,87.5,0.5
2026-07-05,pond-mist,65,70,92.9,0.6
2026-07-05,pond-sunset,36,60,60,0.4
