date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-15,pond-bamboo,35,75,46.7,2.177,"{""blue"":6,""gold"":1,""gray"":14,""green"":12,""orange"":1,""purple"":1}"
2026-07-15,pond-calm,58,80,72.5,2.719,"{""blue"":9,""gold"":2,""gray"":24,""green"":19,""orange"":2,""purple"":1,""red"":1}"
2026-07-15,pond-mist,50,70,71.4,1.726,"{""blue"":6,""gold"":1,""gray"":22,""green"":17,""orange"":1,""purple"":2,""red"":1}"
2026-07-15,pond-sunset,41,60,68.3,3.208,"{""blue"":5,""gold"":1,""gray"":17,""green"":12,""orange"":3,""purple"":2,""red"":1}"
