date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-20,pond-bamboo,5,75,6.7,0.148,"{""gray"":4,""purple"":1}"
2026-08-20,pond-calm,2,80,2.5,0.135,"{""gray"":1,""green"":1}"
2026-08-20,pond-coral,38,70,54.3,0.345,"{""blue"":4,""gray"":21,""green"":11,""purple"":2}"
2026-08-20,pond-crystal,15,70,21.4,0.138,"{""blue"":4,""gray"":6,""green"":4,""purple"":1}"
2026-08-20,pond-dusk,27,75,36,0.134,"{""blue"":2,""gold"":2,""gray"":8,""green"":11,""purple"":2,""red"":2}"
2026-08-20,pond-fern,29,75,38.7,0.147,"{""blue"":6,""gray"":14,""green"":6,""red"":3}"
2026-08-20,pond-frost,35,75,46.7,0.136,"{""blue"":9,""gray"":6,""green"":12,""orange"":2,""purple"":6}"
2026-08-20,pond-harbor,26,70,37.1,0.138,"{""blue"":4,""gray"":11,""green"":4,""orange"":1,""purple"":3,""red"":3}"
2026-08-20,pond-lotus,23,60,38.3,1.359,"{""blue"":4,""gold"":1,""gray"":9,""green"":8,""orange"":1}"
2026-08-20,pond-mirror,38,75,50.7,1.619,"{""blue"":4,""gold"":1,""gray"":16,""green"":13,""orange"":1,""purple"":1,""red"":2}"
2026-08-20,pond-mist,12,70,17.1,0.135,"{""blue"":2,""gray"":5,""green"":5}"
2026-08-20,pond-moon,28,60,46.7,0.146,"{""blue"":3,""gray"":13,""green"":6,""orange"":1,""purple"":4,""red"":1}"
2026-08-20,pond-orchid,25,60,41.7,0.191,"{""blue"":4,""gray"":6,""green"":11,""purple"":4}"
2026-08-20,pond-pine,65,80,81.3,1.075,"{""blue"":7,""gold"":1,""gray"":30,""green"":21,""orange"":1,""purple"":4,""red"":1}"
2026-08-20,pond-reed,19,80,23.8,0.137,"{""blue"":4,""gray"":5,""green"":6,""orange"":1,""purple"":2,""red"":1}"
2026-08-20,pond-ridge,41,80,51.3,1.108,"{""blue"":6,""gray"":19,""green"":12,""orange"":1,""purple"":1,""red"":2}"
2026-08-20,pond-spring,26,60,43.3,0.157,"{""blue"":2,""gray"":13,""green"":6,""orange"":2,""purple"":2,""red"":1}"
2026-08-20,pond-stone,25,70,35.7,0.136,"{""blue"":5,""gray"":11,""green"":7,""purple"":1,""red"":1}"
2026-08-20,pond-sunset,8,60,13.3,0.148,"{""blue"":1,""gray"":4,""green"":2,""purple"":1}"
2026-08-20,pond-willow,28,80,35,0.143,"{""blue"":5,""gray"":11,""green"":6,""purple"":5,""red"":1}"
