date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-12,pond-bamboo,67,75,89.3,1.665,"{""blue"":12,""gold"":1,""gray"":26,""green"":23,""orange"":1,""purple"":3,""red"":1}"
2026-07-12,pond-calm,78,80,97.5,2.134,"{""blue"":10,""gold"":2,""gray"":34,""green"":26,""orange"":2,""purple"":3,""red"":1}"
2026-07-12,pond-mist,67,70,95.7,1.913,"{""blue"":10,""gold"":1,""gray"":30,""green"":20,""orange"":2,""purple"":2,""red"":2}"
2026-07-12,pond-sunset,57,60,95,2.374,"{""blue"":7,""gold"":1,""gray"":23,""green"":19,""orange"":3,""purple"":3,""red"":1}"
