date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-13,pond-bamboo,74,75,98.7,1.681,"{""blue"":11,""gold"":1,""gray"":31,""green"":25,""orange"":1,""purple"":4,""red"":1}"
2026-07-13,pond-calm,76,80,95,2.399,"{""blue"":11,""gold"":2,""gray"":30,""green"":27,""orange"":2,""purple"":3,""red"":1}"
2026-07-13,pond-mist,67,70,95.7,2.157,"{""blue"":9,""gold"":1,""gray"":31,""green"":20,""orange"":2,""purple"":2,""red"":2}"
2026-07-13,pond-sunset,58,60,96.7,2.581,"{""blue"":7,""gold"":1,""gray"":23,""green"":20,""orange"":3,""purple"":3,""red"":1}"
