date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-21,pond-bamboo,3,75,4,0.157,"{""gray"":2,""purple"":1}"
2026-08-21,pond-calm,1,80,1.3,0.2,"{""blue"":1}"
2026-08-21,pond-coral,46,70,65.7,0.592,"{""blue"":5,""gray"":25,""green"":15,""purple"":1}"
2026-08-21,pond-crystal,15,70,21.4,0.138,"{""blue"":4,""gray"":6,""green"":4,""purple"":1}"
2026-08-21,pond-dusk,27,75,36,0.134,"{""blue"":2,""gold"":2,""gray"":8,""green"":11,""purple"":2,""red"":2}"
2026-08-21,pond-fern,29,75,38.7,0.147,"{""blue"":6,""gray"":14,""green"":6,""red"":3}"
2026-08-21,pond-frost,44,75,58.7,2.029,"{""blue"":9,""gold"":1,""gray"":8,""green"":19,""orange"":2,""purple"":5}"
2026-08-21,pond-harbor,35,70,50,1.793,"{""blue"":5,""gray"":17,""green"":7,""orange"":1,""purple"":3,""red"":2}"
2026-08-21,pond-lotus,23,60,38.3,1.359,"{""blue"":4,""gold"":1,""gray"":9,""green"":8,""orange"":1}"
2026-08-21,pond-mirror,35,75,46.7,1.67,"{""blue"":3,""gold"":1,""gray"":15,""green"":12,""orange"":1,""purple"":1,""red"":2}"
2026-08-21,pond-mist,1,70,1.4,0.16,"{""green"":1}"
2026-08-21,pond-moon,28,60,46.7,0.146,"{""blue"":3,""gray"":13,""green"":6,""orange"":1,""purple"":4,""red"":1}"
2026-08-21,pond-orchid,24,60,40,0.19,"{""blue"":3,""gray"":6,""green"":11,""purple"":4}"
2026-08-21,pond-pine,63,80,78.8,1.099,"{""blue"":7,""gold"":1,""gray"":29,""green"":20,""orange"":1,""purple"":4,""red"":1}"
2026-08-21,pond-reed,16,80,20,0.134,"{""blue"":3,""gray"":4,""green"":6,""orange"":1,""purple"":2}"
2026-08-21,pond-ridge,41,80,51.3,1.111,"{""blue"":6,""gray"":19,""green"":12,""orange"":1,""purple"":1,""red"":2}"
2026-08-21,pond-spring,37,60,61.7,1.842,"{""blue"":5,""gray"":17,""green"":10,""orange"":2,""purple"":2,""red"":1}"
2026-08-21,pond-stone,25,70,35.7,0.136,"{""blue"":5,""gray"":11,""green"":7,""purple"":1,""red"":1}"
2026-08-21,pond-sunset,13,60,21.7,0.335,"{""blue"":2,""gray"":8,""green"":2,""purple"":1}"
2026-08-21,pond-willow,28,80,35,0.143,"{""blue"":5,""gray"":11,""green"":6,""purple"":5,""red"":1}"
