date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-14,pond-bamboo,69,75,92,1.703,"{""blue"":11,""gold"":1,""gray"":30,""green"":22,""orange"":1,""purple"":3,""red"":1}"
2026-07-14,pond-calm,76,80,95,2.384,"{""blue"":13,""gold"":2,""gray"":32,""green"":23,""orange"":2,""purple"":2,""red"":2}"
2026-07-14,pond-mist,64,70,91.4,2.133,"{""blue"":8,""gold"":1,""gray"":24,""green"":25,""orange"":2,""purple"":2,""red"":2}"
2026-07-14,pond-sunset,55,60,91.7,2.647,"{""blue"":8,""gold"":1,""gray"":23,""green"":17,""orange"":3,""purple"":2,""red"":1}"
