date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-10,pond-bamboo,41,75,54.7,0.821,"{""blue"":6,""gray"":17,""green"":13,""purple"":3,""red"":2}"
2026-08-10,pond-calm,51,80,63.8,0.699,"{""blue"":7,""gold"":1,""gray"":23,""green"":18,""orange"":1,""red"":1}"
2026-08-10,pond-coral,70,70,100,0.783,"{""blue"":8,""gold"":2,""gray"":34,""green"":23,""orange"":1,""purple"":1,""red"":1}"
2026-08-10,pond-crystal,61,70,87.1,0.8,"{""blue"":7,""gold"":1,""gray"":26,""green"":20,""orange"":2,""purple"":4,""red"":1}"
2026-08-10,pond-dusk,73,75,97.3,0.843,"{""blue"":10,""gold"":1,""gray"":32,""green"":26,""orange"":1,""purple"":1,""red"":2}"
2026-08-10,pond-fern,75,75,100,0.765,"{""blue"":10,""gold"":1,""gray"":37,""green"":23,""orange"":1,""purple"":2,""red"":1}"
2026-08-10,pond-frost,75,75,100,0.908,"{""blue"":10,""gold"":1,""gray"":34,""green"":22,""orange"":1,""purple"":6,""red"":1}"
2026-08-10,pond-harbor,70,70,100,0.897,"{""blue"":10,""gold"":1,""gray"":32,""green"":21,""orange"":1,""purple"":3,""red"":2}"
2026-08-10,pond-lotus,56,60,93.3,0.812,"{""blue"":7,""gold"":1,""gray"":24,""green"":20,""orange"":1,""purple"":1,""red"":2}"
2026-08-10,pond-mirror,70,75,93.3,0.843,"{""blue"":12,""gold"":1,""gray"":30,""green"":21,""orange"":1,""purple"":3,""red"":2}"
2026-08-10,pond-mist,49,70,70,0.805,"{""blue"":7,""gold"":1,""gray"":20,""green"":16,""orange"":2,""purple"":2,""red"":1}"
2026-08-10,pond-moon,60,60,100,0.851,"{""blue"":8,""gold"":1,""gray"":26,""green"":21,""orange"":1,""purple"":2,""red"":1}"
2026-08-10,pond-orchid,60,60,100,0.912,"{""blue"":9,""gray"":26,""green"":20,""orange"":1,""purple"":3,""red"":1}"
2026-08-10,pond-pine,79,80,98.8,0.902,"{""blue"":11,""gold"":1,""gray"":35,""green"":25,""orange"":1,""purple"":4,""red"":2}"
2026-08-10,pond-reed,59,80,73.8,0.87,"{""blue"":8,""gold"":1,""gray"":26,""green"":17,""orange"":1,""purple"":4,""red"":2}"
2026-08-10,pond-ridge,80,80,100,0.873,"{""blue"":9,""gold"":1,""gray"":37,""green"":25,""orange"":1,""purple"":4,""red"":3}"
2026-08-10,pond-spring,60,60,100,0.891,"{""blue"":7,""gold"":1,""gray"":25,""green"":21,""orange"":1,""purple"":4,""red"":1}"
2026-08-10,pond-stone,70,70,100,0.935,"{""blue"":11,""gold"":1,""gray"":29,""green"":23,""orange"":1,""purple"":3,""red"":2}"
2026-08-10,pond-sunset,33,60,55,0.627,"{""blue"":6,""gold"":1,""gray"":15,""green"":10,""red"":1}"
2026-08-10,pond-willow,77,80,96.3,0.875,"{""blue"":10,""gray"":37,""green"":23,""orange"":1,""purple"":4,""red"":2}"
