date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-17,pond-bamboo,39,75,52,1.947,"{""blue"":4,""gold"":1,""gray"":18,""green"":13,""orange"":1,""purple"":1,""red"":1}"
2026-07-17,pond-calm,33,80,41.3,3.376,"{""blue"":4,""gold"":2,""gray"":14,""green"":10,""orange"":1,""purple"":1,""red"":1}"
2026-07-17,pond-mist,49,70,70,1.482,"{""blue"":7,""gold"":1,""gray"":21,""green"":17,""orange"":1,""purple"":1,""red"":1}"
2026-07-17,pond-sunset,44,60,73.3,2.199,"{""blue"":4,""gold"":1,""gray"":21,""green"":13,""orange"":2,""purple"":2,""red"":1}"
