date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-08-22,pond-bamboo,3,75,4,0.157,"{""gray"":2,""purple"":1}"
2026-08-22,pond-calm,22,80,27.5,0.579,"{""blue"":1,""gray"":10,""green"":8,""orange"":1,""purple"":1,""red"":1}"
2026-08-22,pond-coral,45,70,64.3,0.598,"{""blue"":5,""gray"":24,""green"":15,""purple"":1}"
2026-08-22,pond-crystal,15,70,21.4,0.138,"{""blue"":4,""gray"":6,""green"":4,""purple"":1}"
2026-08-22,pond-dusk,27,75,36,0.134,"{""blue"":2,""gold"":2,""gray"":8,""green"":11,""purple"":2,""red"":2}"
2026-08-22,pond-fern,29,75,38.7,0.147,"{""blue"":6,""gray"":14,""green"":6,""red"":3}"
2026-08-22,pond-frost,44,75,58.7,2.029,"{""blue"":9,""gold"":1,""gray"":8,""green"":19,""orange"":2,""purple"":5}"
2026-08-22,pond-harbor,47,70,67.1,1.547,"{""blue"":5,""gray"":24,""green"":12,""orange"":1,""purple"":3,""red"":2}"
2026-08-22,pond-lotus,23,60,38.3,1.359,"{""blue"":4,""gold"":1,""gray"":9,""green"":8,""orange"":1}"
2026-08-22,pond-mirror,45,75,60,1.812,"{""blue"":5,""gold"":1,""gray"":19,""green"":16,""orange"":1,""purple"":1,""red"":2}"
2026-08-22,pond-mist,13,70,18.6,0.198,"{""blue"":1,""gray"":5,""green"":6,""purple"":1}"
2026-08-22,pond-moon,28,60,46.7,0.146,"{""blue"":3,""gray"":13,""green"":6,""orange"":1,""purple"":4,""red"":1}"
2026-08-22,pond-orchid,36,60,60,1.011,"{""blue"":3,""gray"":14,""green"":14,""purple"":4,""red"":1}"
2026-08-22,pond-pine,78,80,97.5,1.577,"{""blue"":9,""gold"":1,""gray"":37,""green"":25,""orange"":1,""purple"":4,""red"":1}"
2026-08-22,pond-reed,16,80,20,0.134,"{""blue"":3,""gray"":4,""green"":6,""orange"":1,""purple"":2}"
2026-08-22,pond-ridge,53,80,66.3,1.313,"{""blue"":6,""gray"":25,""green"":18,""orange"":1,""purple"":1,""red"":2}"
2026-08-22,pond-spring,37,60,61.7,1.842,"{""blue"":5,""gray"":17,""green"":10,""orange"":2,""purple"":2,""red"":1}"
2026-08-22,pond-stone,25,70,35.7,0.136,"{""blue"":5,""gray"":11,""green"":7,""purple"":1,""red"":1}"
2026-08-22,pond-sunset,23,60,38.3,0.588,"{""blue"":2,""gray"":10,""green"":9,""purple"":1,""red"":1}"
2026-08-22,pond-willow,28,80,35,0.143,"{""blue"":5,""gray"":11,""green"":6,""purple"":5,""red"":1}"
