date_key,pond_id,population,max_population,pop_ratio,avg_size_m,quality_json
2026-07-16,pond-bamboo,46,75,61.3,1.61,"{""blue"":5,""gold"":1,""gray"":22,""green"":15,""orange"":1,""purple"":1,""red"":1}"
2026-07-16,pond-calm,26,80,32.5,4.218,"{""blue"":2,""gold"":2,""gray"":12,""green"":8,""orange"":1,""red"":1}"
2026-07-16,pond-mist,53,70,75.7,1.381,"{""blue"":5,""gold"":1,""gray"":25,""green"":19,""orange"":1,""purple"":1,""red"":1}"
2026-07-16,pond-sunset,44,60,73.3,2.248,"{""blue"":5,""gold"":1,""gray"":20,""green"":13,""orange"":2,""purple"":2,""red"":1}"
